Topic ID,Topic Name,Field ID,Field Name,Domain Name
T10012,Genetic diversity and population structure,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T11132,Psychoanalysis and Psychopathology Research,32,Psychology,Social Sciences
T13099,"Health, Medicine and Society",36,Health Professions,Health Sciences
T13800,Earthquake and Disaster Impact Studies,33,Social Sciences,Social Sciences
T11354,Evolution and Paleontology Studies,19,Earth and Planetary Sciences,Physical Sciences
T14388,Medieval European History and Architecture,12,Arts and Humanities,Social Sciences
T13622,Historical and Environmental Studies,33,Social Sciences,Social Sciences
T14021,Medieval European Literature and History,12,Arts and Humanities,Social Sciences
T12762,Crystallography and Radiation Phenomena,31,Physics and Astronomy,Physical Sciences
T11484,Adaptive optics and wavefront sensing,31,Physics and Astronomy,Physical Sciences
T10095,Cosmology and Gravitation Theories,31,Physics and Astronomy,Physical Sciences
T13068,Ancient Mediterranean Archaeology and History,12,Arts and Humanities,Social Sciences
T13031,Civil and Structural Engineering Research,22,Engineering,Physical Sciences
T12373,Linguistic research and analysis,12,Arts and Humanities,Social Sciences
T10351,Liver Disease Diagnosis and Treatment,27,Medicine,Health Sciences
T10825,Plant Pathogens and Fungal Diseases,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T13398,Data Analysis with R,17,Computer Science,Physical Sciences
T10320,Neural Networks and Applications,17,Computer Science,Physical Sciences
T10025,Black Holes and Theoretical Physics,31,Physics and Astronomy,Physical Sciences
T12148,Brazilian Legal Issues,33,Social Sciences,Social Sciences
T14134,Medical and Biological Sciences,27,Medicine,Health Sciences
T12039,Electron and X-Ray Spectroscopy Techniques,25,Materials Science,Physical Sciences
T13621,Ancient and Medieval Archaeology Studies,12,Arts and Humanities,Social Sciences
T11159,Manufacturing Process and Optimization,22,Engineering,Physical Sciences
T10794,Islamic Studies and History,33,Social Sciences,Social Sciences
T11808,Superconducting Materials and Applications,22,Engineering,Physical Sciences
T13856,Advanced Power Generation Technologies,22,Engineering,Physical Sciences
T10255,Oceanographic and Atmospheric Processes,19,Earth and Planetary Sciences,Physical Sciences
T12219,Canadian Identity and History,33,Social Sciences,Social Sciences
T10038,Tuberculosis Research and Epidemiology,27,Medicine,Health Sciences
T10021,EFL/ESL Teaching and Learning,12,Arts and Humanities,Social Sciences
T12004,Advanced Frequency and Time Standards,31,Physics and Astronomy,Physical Sciences
T13332,"Historical Studies on Reproduction, Gender, Health, and Societal Changes",12,Arts and Humanities,Social Sciences
T13064,Dutch Social and Cultural Studies,33,Social Sciences,Social Sciences
T10026,"Galaxies: Formation, Evolution, Phenomena",31,Physics and Astronomy,Physical Sciences
T14339,Image Processing and 3D Reconstruction,17,Computer Science,Physical Sciences
T10128,Global trade and economics,20,"Economics, Econometrics and Finance",Social Sciences
T12771,Plant pathogens and resistance mechanisms,11,Agricultural and Biological Sciences,Life Sciences
T10224,Quantum Chromodynamics and Particle Interactions,31,Physics and Astronomy,Physical Sciences
T13379,"Multiculturalism, Politics, Migration, Gender",33,Social Sciences,Social Sciences
T13394,"Ecology, Conservation, and Geographical Studies",23,Environmental Science,Physical Sciences
T13184,Research in Social Sciences,33,Social Sciences,Social Sciences
T13053,SMEs Development and Digital Marketing,33,Social Sciences,Social Sciences
T14495,Public Health and Nutrition,27,Medicine,Health Sciences
T14102,Corporate Governance and Law,14,"Business, Management and Accounting",Social Sciences
T13807,Cultural Insights and Digital Impacts,17,Computer Science,Physical Sciences
T10605,Historical Economic and Social Studies,20,"Economics, Econometrics and Finance",Social Sciences
T13418,Photocathodes and Microchannel Plates,22,Engineering,Physical Sciences
T14449,Education and Character Development,33,Social Sciences,Social Sciences
T10765,Marine Biology and Ecology Research,19,Earth and Planetary Sciences,Physical Sciences
T14156,Engineering Applied Research,22,Engineering,Physical Sciences
T10683,Mass Spectrometry Techniques and Applications,16,Chemistry,Physical Sciences
T13656,"Science, Research, and Medicine",27,Medicine,Health Sciences
T10153,"Education, sociology, and vocational training",33,Social Sciences,Social Sciences
T10093,Nuclear physics research studies,31,Physics and Astronomy,Physical Sciences
T10077,Neuroscience and Neuropharmacology Research,28,Neuroscience,Life Sciences
T11463,Classical Philosophy and Thought,12,Arts and Humanities,Social Sciences
T10910,Corporate Governance and Management,14,"Business, Management and Accounting",Social Sciences
T11930,"Cardiac, Anesthesia and Surgical Outcomes",27,Medicine,Health Sciences
T10166,Mosquito-borne diseases and control,27,Medicine,Health Sciences
T13255,"Business, Innovation, and Economy",20,"Economics, Econometrics and Finance",Social Sciences
T10815,Parasite Biology and Host Interactions,23,Environmental Science,Physical Sciences
T10192,Catalytic Processes in Materials Science,25,Materials Science,Physical Sciences
T12624,Maritime and Coastal Archaeology,12,Arts and Humanities,Social Sciences
T13444,Medical Research and Treatments,27,Medicine,Health Sciences
T12959,Engineering and Materials Science Studies,22,Engineering,Physical Sciences
T12267,Diet and metabolism studies,27,Medicine,Health Sciences
T11594,Tree-ring climate responses,19,Earth and Planetary Sciences,Physical Sciences
T12532,Historical and Cultural Archaeology Studies,33,Social Sciences,Social Sciences
T13607,Academic Publishing and Open Access,18,Decision Sciences,Social Sciences
T14109,Scottish History and National Identity,12,Arts and Humanities,Social Sciences
T13022,Health and Medical Studies,36,Health Professions,Health Sciences
T12076,Renaissance and Early Modern Studies,12,Arts and Humanities,Social Sciences
T10787,Lightning and Electromagnetic Phenomena,31,Physics and Astronomy,Physical Sciences
T11546,Plant Physiology and Cultivation Studies,11,Agricultural and Biological Sciences,Life Sciences
T12119,Linguistics and Discourse Analysis,12,Arts and Humanities,Social Sciences
T12752,Global Peace and Security Dynamics,33,Social Sciences,Social Sciences
T11949,Nuclear Physics and Applications,31,Physics and Astronomy,Physical Sciences
T11563,Indian and Buddhist Studies,12,Arts and Humanities,Social Sciences
T12337,Italian Fascism and Post-war Society,33,Social Sciences,Social Sciences
T10159,Ionosphere and magnetosphere dynamics,31,Physics and Astronomy,Physical Sciences
T12115,Genetic and Environmental Crop Studies,11,Agricultural and Biological Sciences,Life Sciences
T10299,Photonic and Optical Devices,22,Engineering,Physical Sciences
T11757,Seismic Waves and Analysis,19,Earth and Planetary Sciences,Physical Sciences
T13593,Historical and Archaeological Studies,12,Arts and Humanities,Social Sciences
T11421,Labor Movements and Unions,33,Social Sciences,Social Sciences
T11852,Clay minerals and soil interactions,25,Materials Science,Physical Sciences
T14293,Biotechnology and Related Fields,27,Medicine,Health Sciences
T12266,Byzantine Studies and History,12,Arts and Humanities,Social Sciences
T10857,Advanced Electron Microscopy Techniques and Applications,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10002,Advanced Chemical Physics Studies,31,Physics and Astronomy,Physical Sciences
T10522,Medical Imaging Techniques and Applications,27,Medicine,Health Sciences
T10595,Medieval Literature and History,12,Arts and Humanities,Social Sciences
T11365,Islamic Finance and Banking Studies,14,"Business, Management and Accounting",Social Sciences
T10271,Seismic Imaging and Inversion Techniques,19,Earth and Planetary Sciences,Physical Sciences
T12289,Library Science and Administration,33,Social Sciences,Social Sciences
T14468,Plant Ecology and Soil Science,23,Environmental Science,Physical Sciences
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,23,Environmental Science,Physical Sciences
T14191,Historical Art and Architecture Studies,12,Arts and Humanities,Social Sciences
T13028,Literature and Culture Studies,12,Arts and Humanities,Social Sciences
T10758,Cinema and Media Studies,20,"Economics, Econometrics and Finance",Social Sciences
T10054,Parallel Computing and Optimization Techniques,17,Computer Science,Physical Sciences
T13568,Wood and Agarwood Research,16,Chemistry,Physical Sciences
T12319,Fish Biology and Ecology Studies,11,Agricultural and Biological Sciences,Life Sciences
T11016,Monoclonal and Polyclonal Antibodies Research,27,Medicine,Health Sciences
T10302,Fish Ecology and Management Studies,23,Environmental Science,Physical Sciences
T14149,Historical and Literary Analyses,12,Arts and Humanities,Social Sciences
T10110,earthquake and tectonic studies,19,Earth and Planetary Sciences,Physical Sciences
T10230,Marine and fisheries research,23,Environmental Science,Physical Sciences
T13996,Diverse Musicological Studies,12,Arts and Humanities,Social Sciences
T10018,Advancements in Battery Materials,22,Engineering,Physical Sciences
T10152,Animal Nutrition and Physiology,11,Agricultural and Biological Sciences,Life Sciences
T11742,Economic Theory and Policy,20,"Economics, Econometrics and Finance",Social Sciences
T14249,Water Quality Monitoring and Analysis,23,Environmental Science,Physical Sciences
T11050,Photorefractive and Nonlinear Optics,31,Physics and Astronomy,Physical Sciences
T10715,Distributed and Parallel Computing Systems,17,Computer Science,Physical Sciences
T11027,Metabolism and Genetic Disorders,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10089,Avian ecology and behavior,23,Environmental Science,Physical Sciences
T12430,Academic and Historical Perspectives in Psychology,32,Psychology,Social Sciences
T11715,Education and Critical Thinking Development,33,Social Sciences,Social Sciences
T11290,Preterm Birth and Chorioamnionitis,27,Medicine,Health Sciences
T14186,Healthcare Systems and Practices,36,Health Professions,Health Sciences
T14451,Historical and Religious Studies of Rome,12,Arts and Humanities,Social Sciences
T12977,Spanish Literature and Culture Studies,12,Arts and Humanities,Social Sciences
T10182,Child and Adolescent Psychosocial and Emotional Development,32,Psychology,Social Sciences
T10457,Education Pedagogy and Practices,33,Social Sciences,Social Sciences
T14379,Diverse Cultural and Historical Studies,33,Social Sciences,Social Sciences
T10472,Semiconductor materials and devices,22,Engineering,Physical Sciences
T10527,High-Energy Particle Collisions Research,31,Physics and Astronomy,Physical Sciences
T11891,Big Data and Business Intelligence,14,"Business, Management and Accounting",Social Sciences
T11387,Ichthyology and Marine Biology,23,Environmental Science,Physical Sciences
T10019,Corporate Finance and Governance,14,"Business, Management and Accounting",Social Sciences
T12641,Historical and socio-economic studies of Spain and related regions,20,"Economics, Econometrics and Finance",Social Sciences
T10572,Geophysical and Geoelectrical Methods,19,Earth and Planetary Sciences,Physical Sciences
T11168,International Development and Aid,33,Social Sciences,Social Sciences
T12804,Thermal Analysis in Power Transmission,22,Engineering,Physical Sciences
T12575,Medical History and Research,12,Arts and Humanities,Social Sciences
T10162,Online and Blended Learning,33,Social Sciences,Social Sciences
T10406,Planetary Science and Exploration,31,Physics and Astronomy,Physical Sciences
T12925,Educational and Social Studies,33,Social Sciences,Social Sciences
T11228,Bat Biology and Ecology Studies,11,Agricultural and Biological Sciences,Life Sciences
T10399,Hydrocarbon exploration and reservoir analysis,22,Engineering,Physical Sciences
T10759,Translation Studies and Practices,12,Arts and Humanities,Social Sciences
T10360,Fluid Dynamics and Turbulent Flows,22,Engineering,Physical Sciences
T14518,American Sports and Literature,12,Arts and Humanities,Social Sciences
T10503,Global Financial Crisis and Policies,20,"Economics, Econometrics and Finance",Social Sciences
T11796,Horticultural and Viticultural Research,11,Agricultural and Biological Sciences,Life Sciences
T11203,Jewish and Middle Eastern Studies,33,Social Sciences,Social Sciences
T12773,Water Quality and Resources Studies,23,Environmental Science,Physical Sciences
T12648,Academic Writing and Publishing,12,Arts and Humanities,Social Sciences
T11410,Cultural Industries and Urban Development,33,Social Sciences,Social Sciences
T12764,Polish Historical and Cultural Studies,33,Social Sciences,Social Sciences
T11289,Single-cell and spatial transcriptomics,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T14313,Health and Well-being Studies,32,Psychology,Social Sciences
T10051,Asthma and respiratory diseases,27,Medicine,Health Sciences
T13129,Material Properties and Applications,25,Materials Science,Physical Sciences
T13484,German History and Society,12,Arts and Humanities,Social Sciences
T12525,Australian History and Society,33,Social Sciences,Social Sciences
T12639,Global Energy and Sustainability Research,21,Energy,Physical Sciences
T13939,Archaeology and Natural History,33,Social Sciences,Social Sciences
T13734,Advanced Computational Techniques and Applications,17,Computer Science,Physical Sciences
T10133,Media Studies and Communication,33,Social Sciences,Social Sciences
T13922,Historical Art and Culture Studies,12,Arts and Humanities,Social Sciences
T10804,"Health Systems, Economic Evaluations, Quality of Life",20,"Economics, Econometrics and Finance",Social Sciences
T10413,High-pressure geophysics and materials,19,Earth and Planetary Sciences,Physical Sciences
T10091,Malaria Research and Control,27,Medicine,Health Sciences
T13706,Management and Optimization Techniques,14,"Business, Management and Accounting",Social Sciences
T13883,Child and Adolescent Health,36,Health Professions,Health Sciences
T10240,Plant tissue culture and regeneration,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10172,Cardiac Valve Diseases and Treatments,27,Medicine,Health Sciences
T14059,"Nietzsche, Schopenhauer, and Hegel",12,Arts and Humanities,Social Sciences
T10669,Freshwater macroinvertebrate diversity and ecology,23,Environmental Science,Physical Sciences
T11472,Analytical Chemistry and Sensors,15,Chemical Engineering,Physical Sciences
T10087,Archaeology and ancient environmental studies,19,Earth and Planetary Sciences,Physical Sciences
T11162,Enzyme Structure and Function,25,Materials Science,Physical Sciences
T13124,Chemical synthesis and alkaloids,16,Chemistry,Physical Sciences
T10157,Sports Performance and Training,27,Medicine,Health Sciences
T12097,Aquatic Invertebrate Ecology and Behavior,23,Environmental Science,Physical Sciences
T12854,Neurology and Historical Studies,28,Neuroscience,Life Sciences
T10055,Diverse Aspects of Tourism Research,33,Social Sciences,Social Sciences
T14395,African history and culture studies,33,Social Sciences,Social Sciences
T10211,Computational Drug Discovery Methods,17,Computer Science,Physical Sciences
T14039,Ecology and biodiversity studies,23,Environmental Science,Physical Sciences
T12327,Various Chemistry Research Topics,16,Chemistry,Physical Sciences
T10594,Genetic and phenotypic traits in livestock,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10075,Atmospheric chemistry and aerosols,19,Earth and Planetary Sciences,Physical Sciences
T13749,"Hungarian Social, Economic and Educational Studies",33,Social Sciences,Social Sciences
T10215,Semantic Web and Ontologies,17,Computer Science,Physical Sciences
T10209,Global Maternal and Child Health,27,Medicine,Health Sciences
T10028,Topic Modeling,17,Computer Science,Physical Sciences
T10143,Chronic Obstructive Pulmonary Disease (COPD) Research,27,Medicine,Health Sciences
T10511,High voltage insulation and dielectric phenomena,25,Materials Science,Physical Sciences
T12495,Electrostatic Discharge in Electronics,22,Engineering,Physical Sciences
T12165,Environmental Sustainability and Education,23,Environmental Science,Physical Sciences
T10630,Orthopedic Surgery and Rehabilitation,27,Medicine,Health Sciences
T10214,Psychotherapy Techniques and Applications,32,Psychology,Social Sciences
T13154,Legal and Regulatory Analysis,33,Social Sciences,Social Sciences
T10109,Paleontology and Stratigraphy of Fossils,19,Earth and Planetary Sciences,Physical Sciences
T11613,Phytochemistry and Biological Activities,11,Agricultural and Biological Sciences,Life Sciences
T11746,Inorganic and Organometallic Chemistry,16,Chemistry,Physical Sciences
T10702,Insect and Arachnid Ecology and Behavior,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T11770,Fiscal Policy and Economic Growth,20,"Economics, Econometrics and Finance",Social Sciences
T10135,Insect-Plant Interactions and Control,11,Agricultural and Biological Sciences,Life Sciences
T13178,Theology and Canon Law Studies,12,Arts and Humanities,Social Sciences
T10127,"Banking stability, regulation, efficiency",20,"Economics, Econometrics and Finance",Social Sciences
T12341,Spanish Linguistics and Language Studies,12,Arts and Humanities,Social Sciences
T10749,International Law and Human Rights,33,Social Sciences,Social Sciences
T10523,Atomic and Molecular Physics,31,Physics and Astronomy,Physical Sciences
T13456,"Religion, Society, and Development",33,Social Sciences,Social Sciences
T13760,"Finance, Taxation, and Governance",23,Environmental Science,Physical Sciences
T11836,Bryophyte Studies and Records,11,Agricultural and Biological Sciences,Life Sciences
T10022,Semiconductor Quantum Structures and Devices,31,Physics and Astronomy,Physical Sciences
T14180,"Law, logistics, and international trade",14,"Business, Management and Accounting",Social Sciences
T13802,Vietnamese History and Culture Studies,33,Social Sciences,Social Sciences
T11791,Microbial Community Ecology and Physiology,23,Environmental Science,Physical Sciences
T11590,Primary Care and Health Outcomes,36,Health Professions,Health Sciences
T10199,Wildlife Ecology and Conservation,23,Environmental Science,Physical Sciences
T13523,"Mathematics, Computing, and Information Processing",17,Computer Science,Physical Sciences
T11879,Protist diversity and phylogeny,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T13180,Chemistry and Chemical Engineering,23,Environmental Science,Physical Sciences
T10058,Entrepreneurship Studies and Influences,14,"Business, Management and Accounting",Social Sciences
T10521,RNA and protein synthesis mechanisms,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10429,EEG and Brain-Computer Interfaces,28,Neuroscience,Life Sciences
T13376,Criminal Law and Policy,33,Social Sciences,Social Sciences
T10330,Hydrology and Watershed Management Studies,23,Environmental Science,Physical Sciences
T11197,Digital Games and Media,33,Social Sciences,Social Sciences
T13823,Religious and Theological Studies,33,Social Sciences,Social Sciences
T10268,Developmental Biology and Gene Regulation,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10285,Venous Thromboembolism Diagnosis and Management,27,Medicine,Health Sciences
T14430,Higher Education and Teaching Methods,17,Computer Science,Physical Sciences
T10477,Astrophysics and Star Formation Studies,31,Physics and Astronomy,Physical Sciences
T10372,Cardiac Imaging and Diagnostics,27,Medicine,Health Sciences
T11004,Crustacean biology and ecology,23,Environmental Science,Physical Sciences
T10094,Epilepsy research and treatment,27,Medicine,Health Sciences
T13215,Global Maritime and Colonial Histories,33,Social Sciences,Social Sciences
T10301,Mitochondrial Function and Pathology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10029,Climate variability and models,23,Environmental Science,Physical Sciences
T14008,Balkan and Eastern European Studies,20,"Economics, Econometrics and Finance",Social Sciences
T12323,Asian American and Pacific Histories,33,Social Sciences,Social Sciences
T11434,Electrochemical Analysis and Applications,16,Chemistry,Physical Sciences
T10303,Photosynthetic Processes and Mechanisms,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10609,Digital Marketing and Social Media,33,Social Sciences,Social Sciences
T12753,"Psychology, Coaching, and Therapy",32,Psychology,Social Sciences
T13623,Linguistic Studies and Language Acquisition,17,Computer Science,Physical Sciences
T10078,Advanced Photocatalysis Techniques,21,Energy,Physical Sciences
T12885,Digital Innovation in Industries,14,"Business, Management and Accounting",Social Sciences
T10596,Child Nutrition and Water Access,29,Nursing,Health Sciences
T13735,History of Medical Practice,27,Medicine,Health Sciences
T11710,Biomedical Text Mining and Ontologies,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10177,Palliative Care and End-of-Life Issues,27,Medicine,Health Sciences
T10622,Quantum Mechanics and Applications,31,Physics and Astronomy,Physical Sciences
T10254,Innovations in Medical Education,27,Medicine,Health Sciences
T10190,Air Quality and Health Impacts,23,Environmental Science,Physical Sciences
T13597,Medicine and Dermatology Studies History,27,Medicine,Health Sciences
T11277,Thermal properties of materials,25,Materials Science,Physical Sciences
T13923,Nuclear and radioactivity studies,22,Engineering,Physical Sciences
T10443,Social Policy and Reform Studies,33,Social Sciences,Social Sciences
T12504,Mathematics and Applications,26,Mathematics,Physical Sciences
T12555,Ancient Egypt and Archaeology,12,Arts and Humanities,Social Sciences
T14005,Eastern European Communism and Reforms,33,Social Sciences,Social Sciences
T11349,Music Technology and Sound Studies,17,Computer Science,Physical Sciences
T10340,Hepatitis B Virus Studies,27,Medicine,Health Sciences
T10069,Antenna Design and Analysis,22,Engineering,Physical Sciences
