Topic ID,Topic Name,af_oa,af_oa_diamond,pass_af_oa,pass_af_oa_diamond
T12826,Education Methods and Technologies,1450,248,False,False
T13297,History and advancements in chemistry,34234,2132,True,False
T11312,Soil Moisture and Remote Sensing,12240,1164,True,False
T13710,European and International Law Studies,36197,9421,True,False
T13641,Historical Studies and Socio-cultural Analysis,11793,2159,True,False
T12836,History and Developments in Astronomy,25278,901,True,False
T12797,History of Computing Technologies,5374,438,False,False
T12455,Mediterranean and Iberian flora and fauna,11873,1489,True,False
T13884,Educational Leadership and Practices,23313,2046,True,False
T12917,Astronomy and Astrophysical Research,26375,1292,True,False
T12527,Chemistry and Stereochemistry Studies,4018,298,False,False
T12012,Diatoms and Algae Research,12348,2048,True,False
T13624,Social Sciences and Policies,3336,1171,False,False
T10995,Methane Hydrates and Related Phenomena,57854,4486,True,False
T13396,Agriculture and Rural Development Research,26604,5050,True,False
T12954,Law and Political Science,1975,381,False,False
T13937,"Genetics, Bioinformatics, and Biomedical Research",27386,3831,True,False
T10325,Astro and Planetary Science,61177,3154,True,False
T12983,Satellite Image Processing and Photogrammetry,4510,1030,False,False
T10597,Nuclear reactor physics and engineering,21631,4555,True,False
T10290,Pregnancy and preeclampsia studies,38375,8199,True,False
T11776,Irish and British Studies,16321,2590,True,False
T12454,European Political History Analysis,4406,683,False,False
T13602,Educational Methods and Media Use,78209,47510,True,True
T13532,Education Systems and Policy,46117,5730,True,False
T13130,Biological and pharmacological studies of plants,3276,528,False,False
T13033,Social Sciences and Governance,4235,578,False,False
T11198,Japanese History and Culture,32366,8817,True,False
T11405,Geophysics and Gravity Measurements,95883,3336,True,False
T12618,Botany and Plant Ecology Studies,36477,7464,True,False
T13275,Medical and Health Sciences Research,2265,241,False,False
T13015,"Botany, Ecology, and Taxonomy Studies",29066,1917,True,False
T12768,Linguistics and language evolution,19362,5855,True,False
T10181,Natural Language Processing Techniques,83501,9115,True,False
T12568,Plant Taxonomy and Phylogenetics,9988,1475,False,False
T13372,Archaeology and Historical Studies,20690,4291,True,False
T12765,"Race, History, and American Society",27335,3193,True,False
T13556,Historical Influence and Diplomacy,5855,1442,False,False
T10385,Plant Diversity and Evolution,22106,3679,True,False
T11857,Archaeological and Historical Studies,3837,821,False,False
T12021,Social and Educational Sciences,7126,1668,False,False
T10487,Plant and animal studies,79123,8247,True,False
T12170,History and Theory of Mathematics,20115,2019,True,False
T11468,Genetic Mapping and Diversity in Plants and Animals,18990,1876,True,False
T11530,Business and Management Studies,6840,2815,False,False
T12990,Medical History and Innovations,25688,1254,True,False
T11841,Nuclear Structure and Function,11411,647,True,False
T12613,X-ray Diffraction in Crystallography,10454,1225,True,False
T10039,"Stellar, planetary, and galactic studies",95307,4474,True,False
T11583,Advanced Measurement and Metrology Techniques,12901,2790,True,False
T12510,Magneto-Optical Properties and Applications,4984,966,False,False
T10037,Physics of Superconductivity and Magnetism,56428,5096,True,False
T12645,European history and politics,9410,1567,False,False
T12254,Machine Learning in Bioinformatics,11625,1317,True,False
T11494,Coleoptera Taxonomy and Distribution,14673,1924,True,False
T10908,Analytical Chemistry and Chromatography,36506,6622,True,False
T10559,Particle Accelerators and Free-Electron Lasers,21813,2503,True,False
T14335,Educational Robotics and Engineering,22300,4923,True,False
T10391,Healthcare Policy and Management,45476,2952,True,False
T10332,Amphibian and Reptile Biology,26918,3444,True,False
T12909,French Historical and Cultural Studies,5412,765,False,False
T10259,Sociology and Education Studies,2663,417,False,False
T14162,Historical and Literary Studies,9268,1556,False,False
T10012,Genetic diversity and population structure,25930,1637,True,False
T11132,Psychoanalysis and Psychopathology Research,2154,369,False,False
T13099,"Health, Medicine and Society",3386,364,False,False
T13800,Earthquake and Disaster Impact Studies,25645,4276,True,False
T11354,Evolution and Paleontology Studies,20631,1579,True,False
T14388,Medieval European History and Architecture,3070,1218,False,False
T13622,Historical and Environmental Studies,2564,472,False,False
T14021,Medieval European Literature and History,3160,504,False,False
T12762,Crystallography and Radiation Phenomena,5209,705,False,False
T11484,Adaptive optics and wavefront sensing,10375,500,True,False
T10095,Cosmology and Gravitation Theories,99924,8776,True,False
T13068,Ancient Mediterranean Archaeology and History,12028,2398,True,False
T13031,Civil and Structural Engineering Research,4094,599,False,False
T12373,Linguistic research and analysis,6198,2474,False,False
T10351,Liver Disease Diagnosis and Treatment,68626,12939,True,True
T10825,Plant Pathogens and Fungal Diseases,51828,10381,True,True
T13398,Data Analysis with R,13190,570,True,False
T10320,Neural Networks and Applications,51228,5442,True,False
T10025,Black Holes and Theoretical Physics,100792,18678,True,True
T12148,Brazilian Legal Issues,3157,1356,False,False
T14134,Medical and Biological Sciences,28334,9700,True,False
T12039,Electron and X-Ray Spectroscopy Techniques,21793,2450,True,False
T13621,Ancient and Medieval Archaeology Studies,14077,6040,True,False
T11159,Manufacturing Process and Optimization,44100,10050,True,True
T10794,Islamic Studies and History,29564,8118,True,False
T11808,Superconducting Materials and Applications,20664,2203,True,False
T13856,Advanced Power Generation Technologies,8244,3483,False,False
T10255,Oceanographic and Atmospheric Processes,33555,1987,True,False
T12219,Canadian Identity and History,24211,3798,True,False
T10038,Tuberculosis Research and Epidemiology,63150,11715,True,True
T10021,EFL/ESL Teaching and Learning,56181,17785,True,True
T12004,Advanced Frequency and Time Standards,5178,390,False,False
T13332,"Historical Studies on Reproduction, Gender, Health, and Societal Changes",7882,731,False,False
T13064,Dutch Social and Cultural Studies,3102,251,False,False
T10026,"Galaxies: Formation, Evolution, Phenomena",81285,2624,True,False
T14339,Image Processing and 3D Reconstruction,12785,2097,True,False
T10128,Global trade and economics,57283,6832,True,False
T12771,Plant pathogens and resistance mechanisms,7167,1337,False,False
T10224,Quantum Chromodynamics and Particle Interactions,55164,4600,True,False
T13379,"Multiculturalism, Politics, Migration, Gender",4504,975,False,False
T13394,"Ecology, Conservation, and Geographical Studies",3924,746,False,False
T13184,Research in Social Sciences,9263,1418,False,False
T13053,SMEs Development and Digital Marketing,68279,43666,True,True
T14495,Public Health and Nutrition,60669,38724,True,True
T14102,Corporate Governance and Law,13880,1480,True,False
T13807,Cultural Insights and Digital Impacts,2067,430,False,False
T10605,Historical Economic and Social Studies,16654,1357,True,False
T13418,Photocathodes and Microchannel Plates,2929,279,False,False
T14449,Education and Character Development,72360,47830,True,True
T10765,Marine Biology and Ecology Research,27675,2683,True,False
T14156,Engineering Applied Research,30350,10447,True,True
T10683,Mass Spectrometry Techniques and Applications,24099,2286,True,False
T13656,"Science, Research, and Medicine",20862,1540,True,False
T10153,"Education, sociology, and vocational training",2044,387,False,False
T10093,Nuclear physics research studies,37336,6947,True,False
T10077,Neuroscience and Neuropharmacology Research,56291,3824,True,False
T11463,Classical Philosophy and Thought,17600,3880,True,False
T10910,Corporate Governance and Management,1784,230,False,False
T11930,"Cardiac, Anesthesia and Surgical Outcomes",41120,7597,True,False
T10166,Mosquito-borne diseases and control,60978,10831,True,True
T13255,"Business, Innovation, and Economy",6710,3593,False,False
T10815,Parasite Biology and Host Interactions,26283,4351,True,False
T10192,Catalytic Processes in Materials Science,42270,4538,True,False
T12624,Maritime and Coastal Archaeology,17832,1959,True,False
T13444,Medical Research and Treatments,19225,4971,True,False
T12959,Engineering and Materials Science Studies,1404,183,False,False
T12267,Diet and metabolism studies,42653,6349,True,False
T11594,Tree-ring climate responses,10888,1099,True,False
T12532,Historical and Cultural Archaeology Studies,9550,585,False,False
T13607,Academic Publishing and Open Access,27050,4076,True,False
T14109,Scottish History and National Identity,11931,1181,True,False
T13022,Health and Medical Studies,4227,536,False,False
T12076,Renaissance and Early Modern Studies,5583,825,False,False
T10787,Lightning and Electromagnetic Phenomena,10922,1405,True,False
T11546,Plant Physiology and Cultivation Studies,48061,11403,True,True
T12119,Linguistics and Discourse Analysis,5517,1668,False,False
T12752,Global Peace and Security Dynamics,27408,3921,True,False
T11949,Nuclear Physics and Applications,33817,5524,True,False
T11563,Indian and Buddhist Studies,19390,6014,True,False
T12337,Italian Fascism and Post-war Society,14100,2624,True,False
T10159,Ionosphere and magnetosphere dynamics,50901,2482,True,False
T12115,Genetic and Environmental Crop Studies,10418,2837,True,False
T10299,Photonic and Optical Devices,42118,2602,True,False
T11757,Seismic Waves and Analysis,31964,1623,True,False
T13593,Historical and Archaeological Studies,10791,3247,True,False
T11421,Labor Movements and Unions,28225,2636,True,False
T11852,Clay minerals and soil interactions,10820,1717,True,False
T14293,Biotechnology and Related Fields,17545,2037,True,False
T12266,Byzantine Studies and History,12403,4550,True,False
T10857,Advanced Electron Microscopy Techniques and Applications,11729,709,True,False
T10002,Advanced Chemical Physics Studies,29525,1642,True,False
T10522,Medical Imaging Techniques and Applications,34335,2914,True,False
T10595,Medieval Literature and History,14605,1661,True,False
T11365,Islamic Finance and Banking Studies,73107,32340,True,True
T10271,Seismic Imaging and Inversion Techniques,20993,2277,True,False
T12289,Library Science and Administration,17409,4841,True,False
T14468,Plant Ecology and Soil Science,6624,1054,False,False
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,24934,4188,True,False
T14191,Historical Art and Architecture Studies,2659,696,False,False
T13028,Literature and Culture Studies,1075,170,False,False
T10758,Cinema and Media Studies,19966,3821,True,False
T10054,Parallel Computing and Optimization Techniques,35251,2489,True,False
T13568,Wood and Agarwood Research,2940,810,False,False
T12319,Fish Biology and Ecology Studies,36591,9577,True,False
T11016,Monoclonal and Polyclonal Antibodies Research,48933,2494,True,False
T10302,Fish Ecology and Management Studies,46109,4020,True,False
T14149,Historical and Literary Analyses,3461,657,False,False
T10110,earthquake and tectonic studies,44214,6003,True,False
T10230,Marine and fisheries research,44818,3771,True,False
T13996,Diverse Musicological Studies,19406,4344,True,False
T10018,Advancements in Battery Materials,45663,3420,True,False
T10152,Animal Nutrition and Physiology,70620,11317,True,True
T11742,Economic Theory and Policy,24422,3002,True,False
T14249,Water Quality Monitoring and Analysis,24407,5388,True,False
T11050,Photorefractive and Nonlinear Optics,6556,610,False,False
T10715,Distributed and Parallel Computing Systems,34408,4788,True,False
T11027,Metabolism and Genetic Disorders,31303,3482,True,False
T10089,Avian ecology and behavior,41637,4398,True,False
T12430,Academic and Historical Perspectives in Psychology,15730,1270,True,False
T11715,Education and Critical Thinking Development,56112,22474,True,True
T11290,Preterm Birth and Chorioamnionitis,11114,1785,True,False
T14186,Healthcare Systems and Practices,5232,765,False,False
T14451,Historical and Religious Studies of Rome,6106,1197,False,False
T12977,Spanish Literature and Culture Studies,3066,717,False,False
T10182,Child and Adolescent Psychosocial and Emotional Development,40913,5600,True,False
T10457,Education Pedagogy and Practices,3473,1672,False,False
T14379,Diverse Cultural and Historical Studies,780,186,False,False
T10472,Semiconductor materials and devices,25297,2056,True,False
T10527,High-Energy Particle Collisions Research,44258,6000,True,False
T11891,Big Data and Business Intelligence,43896,10645,True,True
T11387,Ichthyology and Marine Biology,14188,1379,True,False
T10019,Corporate Finance and Governance,62812,7937,True,False
T12641,Historical and socio-economic studies of Spain and related regions,1596,316,False,False
T10572,Geophysical and Geoelectrical Methods,19316,3933,True,False
T11168,International Development and Aid,32724,4327,True,False
T12804,Thermal Analysis in Power Transmission,3827,870,False,False
T12575,Medical History and Research,6475,634,False,False
T10162,Online and Blended Learning,48090,15204,True,True
T10406,Planetary Science and Exploration,31866,1627,True,False
T12925,Educational and Social Studies,4554,1076,False,False
T11228,Bat Biology and Ecology Studies,19918,1796,True,False
T10399,Hydrocarbon exploration and reservoir analysis,35125,6551,True,False
T10759,Translation Studies and Practices,29862,11469,True,True
T10360,Fluid Dynamics and Turbulent Flows,41729,5157,True,False
T14518,American Sports and Literature,8717,488,False,False
T10503,Global Financial Crisis and Policies,41676,4580,True,False
T11796,Horticultural and Viticultural Research,33652,8666,True,False
T11203,Jewish and Middle Eastern Studies,21195,4539,True,False
T12773,Water Quality and Resources Studies,12315,463,True,False
T12648,Academic Writing and Publishing,22464,2199,True,False
T11410,Cultural Industries and Urban Development,29788,5609,True,False
T12764,Polish Historical and Cultural Studies,14213,8307,True,False
T11289,Single-cell and spatial transcriptomics,26700,711,True,False
T14313,Health and Well-being Studies,50995,16239,True,True
T10051,Asthma and respiratory diseases,42737,5272,True,False
T13129,Material Properties and Applications,34870,12213,True,True
T13484,German History and Society,3560,707,False,False
T12525,Australian History and Society,15028,1290,True,False
T12639,Global Energy and Sustainability Research,20761,2930,True,False
T13939,Archaeology and Natural History,23982,752,True,False
T13734,Advanced Computational Techniques and Applications,12704,2370,True,False
T10133,Media Studies and Communication,18862,3617,True,False
T13922,Historical Art and Culture Studies,7593,1342,False,False
T10804,"Health Systems, Economic Evaluations, Quality of Life",38100,3719,True,False
T10413,High-pressure geophysics and materials,23077,2098,True,False
T10091,Malaria Research and Control,48792,5025,True,False
T13706,Management and Optimization Techniques,33647,20740,True,True
T13883,Child and Adolescent Health,23331,2908,True,False
T10240,Plant tissue culture and regeneration,37357,9742,True,False
T10172,Cardiac Valve Diseases and Treatments,45238,7215,True,False
T14059,"Nietzsche, Schopenhauer, and Hegel",3380,748,False,False
T10669,Freshwater macroinvertebrate diversity and ecology,12453,1973,True,False
T11472,Analytical Chemistry and Sensors,24324,3692,True,False
T10087,Archaeology and ancient environmental studies,21354,2469,True,False
T11162,Enzyme Structure and Function,20175,1141,True,False
T13124,Chemical synthesis and alkaloids,9205,1504,False,False
T10157,Sports Performance and Training,41654,9827,True,False
T12097,Aquatic Invertebrate Ecology and Behavior,14727,2050,True,False
T12854,Neurology and Historical Studies,12269,874,True,False
T10055,Diverse Aspects of Tourism Research,39497,11232,True,True
T14395,African history and culture studies,16739,2729,True,False
T10211,Computational Drug Discovery Methods,50422,7402,True,False
T14039,Ecology and biodiversity studies,9993,1202,False,False
T12327,Various Chemistry Research Topics,24898,2268,True,False
T10594,Genetic and phenotypic traits in livestock,50078,6748,True,False
T10075,Atmospheric chemistry and aerosols,47621,1847,True,False
T13749,"Hungarian Social, Economic and Educational Studies",9794,4284,False,False
T10215,Semantic Web and Ontologies,39901,3933,True,False
T10209,Global Maternal and Child Health,57471,10608,True,True
T10028,Topic Modeling,74484,5578,True,False
T10143,Chronic Obstructive Pulmonary Disease (COPD) Research,40926,6778,True,False
T10511,High voltage insulation and dielectric phenomena,12528,2086,True,False
T12495,Electrostatic Discharge in Electronics,2538,346,False,False
T12165,Environmental Sustainability and Education,3764,1697,False,False
T10630,Orthopedic Surgery and Rehabilitation,29941,7344,True,False
T10214,Psychotherapy Techniques and Applications,14543,2059,True,False
T13154,Legal and Regulatory Analysis,4369,1828,False,False
T10109,Paleontology and Stratigraphy of Fossils,22850,2304,True,False
T11613,Phytochemistry and Biological Activities,15847,4175,True,False
T11746,Inorganic and Organometallic Chemistry,15969,3075,True,False
T10702,Insect and Arachnid Ecology and Behavior,34531,3735,True,False
T11770,Fiscal Policy and Economic Growth,49702,9017,True,False
T10135,Insect-Plant Interactions and Control,37311,6141,True,False
T13178,Theology and Canon Law Studies,7877,3704,False,False
T10127,"Banking stability, regulation, efficiency",49014,5375,True,False
T12341,Spanish Linguistics and Language Studies,5714,2203,False,False
T10749,International Law and Human Rights,26443,3738,True,False
T10523,Atomic and Molecular Physics,16793,2833,True,False
T13456,"Religion, Society, and Development",23409,3622,True,False
T13760,"Finance, Taxation, and Governance",870,270,False,False
T11836,Bryophyte Studies and Records,9556,2444,False,False
T10022,Semiconductor Quantum Structures and Devices,18855,2339,True,False
T14180,"Law, logistics, and international trade",15371,2347,True,False
T13802,Vietnamese History and Culture Studies,17430,3957,True,False
T11791,Microbial Community Ecology and Physiology,36089,3138,True,False
T11590,Primary Care and Health Outcomes,31883,3557,True,False
T10199,Wildlife Ecology and Conservation,47060,4869,True,False
T13523,"Mathematics, Computing, and Information Processing",7126,729,False,False
T11879,Protist diversity and phylogeny,12121,1127,True,False
T13180,Chemistry and Chemical Engineering,25174,1925,True,False
T10058,Entrepreneurship Studies and Influences,50144,13106,True,True
T10521,RNA and protein synthesis mechanisms,56548,1920,True,False
T10429,EEG and Brain-Computer Interfaces,43360,5486,True,False
T13376,Criminal Law and Policy,1366,359,False,False
T10330,Hydrology and Watershed Management Studies,48923,6234,True,False
T11197,Digital Games and Media,26192,5384,True,False
T13823,Religious and Theological Studies,1815,771,False,False
T10268,Developmental Biology and Gene Regulation,13239,650,True,False
T10285,Venous Thromboembolism Diagnosis and Management,33130,6443,True,False
T14430,Higher Education and Teaching Methods,8594,2709,False,False
T10477,Astrophysics and Star Formation Studies,51369,2072,True,False
T10372,Cardiac Imaging and Diagnostics,31410,4494,True,False
T11004,Crustacean biology and ecology,16837,2208,True,False
T10094,Epilepsy research and treatment,34035,4993,True,False
T13215,Global Maritime and Colonial Histories,13977,2456,True,False
T10301,Mitochondrial Function and Pathology,40739,2667,True,False
T10029,Climate variability and models,59543,4279,True,False
T14008,Balkan and Eastern European Studies,7642,3562,False,False
T12323,Asian American and Pacific Histories,8186,930,False,False
T11434,Electrochemical Analysis and Applications,25873,3336,True,False
T10303,Photosynthetic Processes and Mechanisms,42075,1788,True,False
T10609,Digital Marketing and Social Media,49697,15450,True,True
T12753,"Psychology, Coaching, and Therapy",1134,161,False,False
T13623,Linguistic Studies and Language Acquisition,5307,1570,False,False
T10078,Advanced Photocatalysis Techniques,34276,2953,True,False
T12885,Digital Innovation in Industries,3010,357,False,False
T10596,Child Nutrition and Water Access,54547,12776,True,True
T13735,History of Medical Practice,19805,1099,True,False
T11710,Biomedical Text Mining and Ontologies,21537,1688,True,False
T10177,Palliative Care and End-of-Life Issues,35702,4421,True,False
T10622,Quantum Mechanics and Applications,46790,2985,True,False
T10254,Innovations in Medical Education,42410,9245,True,False
T10190,Air Quality and Health Impacts,49904,8915,True,False
T13597,Medicine and Dermatology Studies History,9394,1049,False,False
T11277,Thermal properties of materials,9249,749,False,False
T13923,Nuclear and radioactivity studies,17304,2652,True,False
T10443,Social Policy and Reform Studies,22847,2508,True,False
T12504,Mathematics and Applications,22397,2285,True,False
T12555,Ancient Egypt and Archaeology,8708,1619,False,False
T14005,Eastern European Communism and Reforms,15610,6306,True,False
T11349,Music Technology and Sound Studies,21083,1843,True,False
T10340,Hepatitis B Virus Studies,36527,5863,True,False
T10069,Antenna Design and Analysis,28469,8004,True,False
T10425,Cold Atom Physics and Bose-Einstein Condensates,50204,1902,True,False
T12982,Legal principles and applications,21718,2187,True,False
T11006,BIM and Construction Integration,34349,8018,True,False
T10129,Glioma Diagnosis and Treatment,48200,4766,True,False
T10030,Electrocatalysts for Energy Conversion,34794,2532,True,False
T11743,Political Economy and Marxism,16145,2967,True,False
T10032,Marine and coastal ecosystems,37016,2314,True,False
T10066,Gut microbiota and health,54908,4389,True,False
T11020,Immune Cell Function and Interaction,49487,2141,True,False
T14491,Diverse academic and cultural studies,4268,797,False,False
T10276,Helicobacter pylori-related gastroenterology studies,35656,6352,True,False
T10809,Occupational Health and Safety Research,33666,7341,True,False
T10082,HIV/AIDS Research and Interventions,49532,5053,True,False
T10431,Ethnobotanical and Medicinal Plants Studies,15274,5145,True,False
T13212,German Social Sciences and History,1334,191,False,False
T10189,Anesthesia and Pain Management,41150,12436,True,True
T14081,Linguistic Education and Pedagogy,4742,1868,False,False
T10364,Reproductive Biology and Fertility,36834,3684,True,False
T12444,"Art, Politics, and Modernism",11778,2058,True,False
T13168,Plant Ecology and Taxonomy Studies,6777,1556,False,False
T13754,Central European and Russian historical studies,3387,1864,False,False
T10238,Spine and Intervertebral Disc Pathology,36486,8566,True,False
T10047,Financial Markets and Investment Strategies,52144,4432,True,False
T10020,Quantum Information and Cryptography,51172,1736,True,False
T10146,Cervical Cancer and HPV Research,42293,7308,True,False
T10106,Autism Spectrum Disorder Research,39902,5247,True,False
T11588,Atmospheric and Environmental Gas Dynamics,39250,2747,True,False
T11752,Cancer Treatment and Pharmacology,16985,2452,True,False
T10818,Astrophysics and Cosmic Phenomena,43600,3393,True,False
T10217,Cardiac electrophysiology and arrhythmias,36922,4121,True,False
T14210,Historical and Linguistic Studies,13537,3430,True,False
T12353,Lexicography and Language Studies,16484,4998,True,False
T11499,ICT Impact and Policies,27877,3591,True,False
T10432,DNA and Nucleic Acid Chemistry,28860,1592,True,False
T10141,Probiotics and Fermented Foods,39470,7647,True,False
T10250,Glaucoma and retinal disorders,36115,6311,True,False
T12505,Peptidase Inhibition and Analysis,19412,1261,True,False
T13193,Geological Studies and Exploration,23750,5628,True,False
T10965,Geological formations and processes,18997,1575,True,False
T14030,Taxation and Legal Issues,14501,1699,True,False
T12359,Fern and Epiphyte Biology,7415,1403,False,False
T10009,Dementia and Cognitive Impairment Research,52139,5262,True,False
T10549,Neonatal Respiratory Health Research,34452,4510,True,False
T10084,Musculoskeletal pain and rehabilitation,39467,7497,True,False
T13636,Pentecostalism and Christianity Studies,6277,812,False,False
T10602,Glycosylation and Glycoproteins Research,37690,2132,True,False
T10333,Meat and Animal Product Quality,38983,6769,True,False
T10535,Landslides and related hazards,40901,7176,True,False
T10007,Monetary Policy and Economic Impact,50585,5420,True,False
T12998,Education and Islamic Studies,39741,18956,True,True
T10065,Atrial Fibrillation Management and Outcomes,43585,6204,True,False
T11429,Semiconductor Lasers and Optical Devices,16632,1681,True,False
T10322,Respiratory Support and Mechanisms,29265,4833,True,False
T12669,Comparative International Legal Studies,1033,367,False,False
T13070,Cultural Identity and Heritage,1543,350,False,False
T14441,"Religion, Theology, History, Judaism, Christianity",1214,354,False,False
T10911,Chemical Synthesis and Analysis,20906,2144,True,False
T12573,Education and Digital Technologies,4156,1767,False,False
T12927,"Memory, History, Trauma, Identity",397,129,False,False
T12487,Structural Engineering and Vibration Analysis,20371,4116,True,False
T11876,Legal Studies and Policies,30918,18988,True,True
T12502,Urbanization and City Planning,18850,4116,True,False
T10231,Pancreatic and Hepatic Oncology Research,41800,5902,True,False
T12471,History of Science and Natural History,9371,522,False,False
T12137,Economic theories and models,35921,1923,True,False
T13695,"Aging, Elder Care, and Social Issues",3939,713,False,False
T10270,Blockchain Technology Applications and Security,44242,9347,True,False
T13175,Historical Astronomy and Related Studies,9606,1210,False,False
T10207,Advanced biosensing and bioanalysis techniques,36244,2522,True,False
T10378,Advanced MRI Techniques and Applications,35929,2175,True,False
T10644,Cryospheric studies and observations,45068,3150,True,False
T11091,Extraction and Separation Processes,26525,4738,True,False
T10280,Shoulder Injury and Treatment,33710,7119,True,False
T10171,Biofuel production and bioconversion,37151,6409,True,False
T11657,Digital and Traditional Archives Management,13460,2263,True,False
T10121,Building Energy and Comfort Optimization,44626,9459,True,False
T13466,Comparative Literary Analysis and Criticism,2610,822,False,False
T12912,"Shakespeare, Adaptation, and Literary Criticism",13037,2406,True,False
T10463,Pulsars and Gravitational Waves Research,44389,2773,True,False
T10062,MicroRNA in disease regulation,49640,5857,True,False
T11753,Forest Management and Policy,24230,2586,True,False
T11391,Theatre and Performance Studies,15076,2866,True,False
T10400,Network Security and Intrusion Detection,37408,9009,True,False
T11801,Reservoir Engineering and Simulation Methods,23256,4746,True,False
T10163,Metal complexes synthesis and properties,23574,3116,True,False
T12755,Legal Education and Practice Innovations,31073,4023,True,False
T10543,Prostate Cancer Treatment and Research,28479,2733,True,False
T10382,Quantum and electron transport phenomena,40875,1675,True,False
T12890,Eurasian Exchange Networks,13648,4281,True,False
T14281,Islamic Finance and Communication,39701,26200,True,True
T12339,Medical Malpractice and Liability Issues,21388,3226,True,False
T11216,Radiation Detection and Scintillator Technologies,14087,1805,True,False
T10589,Early Childhood Education and Development,25845,3966,True,False
T12705,Educational Reforms and Innovations,30055,9767,True,False
T10973,Radioactive element chemistry and processing,20924,2420,True,False
T10631,"Cancer, Hypoxia, and Metabolism",37735,3028,True,False
T10876,Fault Detection and Control Systems,30032,5078,True,False
T12332,Comparative constitutional jurisprudence studies,2461,837,False,False
T11537,Ethics in medical practice,21297,3758,True,False
T12767,Conflict of Laws and Jurisdiction,14075,1825,True,False
T11507,Religion and Society Interactions,16824,3278,True,False
T10289,European Union Policy and Governance,23026,2962,True,False
T11726,Organizational Management and Innovation,1326,429,False,False
T10494,Plant Virus Research Studies,35206,5112,True,False
T13518,Architecture and Computational Design,20679,3185,True,False
T10158,Cancer Immunotherapy and Biomarkers,51204,4495,True,False
T13504,African history and culture analysis,14248,2995,True,False
T10403,Phonetics and Phonology Research,27692,4533,True,False
T14490,Human Rights and Immigration,2041,479,False,False
T12961,Regional Development and Policy,27830,4716,True,False
T12398,Poetry Analysis and Criticism,12304,1650,True,False
T14047,Marine and environmental studies,27391,7031,True,False
T14321,"Religion, Theology, and Education",1209,300,False,False
T10450,Aquaculture Nutrition and Growth,37023,6681,True,False
